"date" "county" "state.x" "fips" "cases" "deaths" "cases.y" "deaths.y" "sincedeath" "cbsa18" "cbsaname18" "countyn" "popestimate2019" "density" "temp_mar20" "pcpn_mar20" "obesity" "gini" "hhsize" "crowded" "dist" "lndensity" "lncbsapop" "pcases" "pdeaths" "age60plus" "college" "seasonal_units" "hospitality_jobs" "oil_jobs" "black_pct" "hisp_pct" "asian_pct" "wfh_share" "italy_born" "china_born" "transit_modeshare" "wfh_modeshare" "name" "state.y" "census_region" "pop_dens" "pop_dens4" "pop_dens6" "pct_black" "pop" "female" "white" "black" "travel_time" "land_area" "hh_income" "su_gun4" "su_gun6" "fips.y" "votes_dem_2016" "votes_gop_2016" "total_votes_2016" "per_dem_2016" "per_gop_2016" "diff_2016" "per_dem_2012" "per_gop_2012" "diff_2012" "winner" "partywinner16" "winner12" "partywinner12" "flipped"
"2020-11-02" "Clarke" "Alabama" 1025 1408 17 64 1 23 NA NA "Clarke AL" 23622 17.23429 66.7 2.61 34.2 0.5185 2.5676 1.8 993.50829 2.846901 10.06993 270.9339 4.233342 0.268102 0.1255483 0.0970097 0.1130677 0 0.4432692 0.0136288 0.0041806 0.241394 0 0.0014352 0.001461 0.0098287 "Clarke County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[  9,   25)" "[25.0,50.0)" 24945 52.7 54.1 44.2 25.5 1238.47 29357 "[ 8,11)" "[ 8,10)" 1025 5712 7109 12936 0.441558442 0.549551639 1397 0.456859767 0.539741086 1146 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Clay" "Alabama" 1027 779 12 27 1 20 NA NA "Clay AL" 13235 11.2617 60.4 8.47 41.1 0.4684 2.506837 0.9 833.88679 2.421407 9.49062 204.0045 7.555724 0.2785687 0.1016694 0.0721847 0.0356522 0 0.1383051 0.0301318 0.0021092 0.2410953 0 0.0009717 0 0.0326147 "Clay County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[  9,   25)" "[10.0,15.0)" 13552 50.8 83 14.4 30.7 603.96 34002 "[ 8,11)" "[ 8,10)" 1027 1234 5230 6572 0.187766281 0.795800365 3996 0.266566265 0.723192771 3032 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Cleburne" "Alabama" 1029 591 9 13 1 24 NA NA "Cleburne AL" 14910 12.83203 59.5 8.6 37.7 0.4622 2.578351 0.9 803.34813 2.551944 9.609787 87.1898 6.706908 0.2574231 0.1367161 0.0359976 0.080749 0 0.0286915 0.0248215 0.0020685 0.3059382 0 0 0.0001867 0.03324 "Cleburne County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[ 2.0, 5.0)" 15080 50.4 94.7 3.6 31.4 560.1 38019 "[11,54]" "[12,54]" 1029 684 5738 6532 0.104715248 0.878444581 5054 0.15407807 0.836083783 4298 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Coffee" "Alabama" 1031 1885 11 155 1 22 21460 "Enterprise, AL" "Coffee AL" 52342 223.3308 67 2.86 34.2 0.4427 2.558314 1.4 930.93787 5.408654 10.86555 296.1293 1.910512 0.2315591 0.2341602 0.0179314 0.133727 0 0.1718777 0.0758057 0.0154694 0.3271084 0.000351 0.0040555 0 0.0265781 "Coffee County" "AL" "South" "[   50,  100)" "[ 45,  118)" "[ 45,   82)" "[15.0,25.0)" 50909 50.3 76.7 17.5 21.3 678.97 43768 "[ 8,11)" "[10,12)" 1031 4194 15825 20513 0.204455711 0.771462 11631 0.248490997 0.742480345 9739 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Colbert" "Alabama" 1033 2313 32 72 2 37 22520 "Florence-Muscle Shoals, AL" "Colbert AL" 55241 330.5393 58.1 9.19 30.5 0.4496 2.482705 0.4 857.95435 5.800725 11.90477 130.338 3.620499 0.270023 0.1872768 0.0225572 0.0909365 0 0.1599832 0.0267521 0.0057339 0.3001457 0 0.0004404 0.0009966 0.0208843 "Colbert County" "AL" "South" "[   50,  100)" "[ 45,  118)" "[ 82,  215)" "[15.0,25.0)" 54543 51.9 80.8 16.4 22.7 592.62 39077 "[11,54]" "[10,12)" 1033 7296 16718 24626 0.296272233 0.678875985 9422 0.391888423 0.596004107 4771 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Conecuh" "Alabama" 1035 578 13 14 0 0 NA NA "Conecuh AL" 12067 8.502934 67.4 2.55 43.8 0.4354 2.727661 1.1 971.47131 2.140411 9.39823 116.0189 0 0.3027613 0.1072559 0.0355593 0.1326453 0 0.4566262 0.0215036 0.0020363 0.2289003 0 0 0.002064 0.0237358 "Conecuh County" "AL" "South" "[   10,   50)" "[  0,   17)" "[  9,   25)" "[25.0,50.0)" 12670 51.7 52.1 46 27.2 850.16 24658 "[11,54]" "[10,12)" 1035 3069 3413 6543 0.469050894 0.521626165 344 0.506345359 0.489662056 117 "Trump" "Republican" "Obama" "Democrat" "Yes"
"2020-11-02" "Coosa" "Alabama" 1037 225 3 33 1 30 10760 "Alexander City, AL" "Coosa AL" 10663 9.456465 62.7 7.6 40.6 0.4646 2.552176 0.9 866.20909 2.246699 10.84017 309.4814 9.378223 0.3212319 0.1157959 0.1652943 0.1544401 0 0.304713 0.0251983 0.0012133 0.260438 0 0 0.0045056 0.0443054 "Coosa County" "AL" "South" "[   10,   50)" "[  0,   17)" "[  9,   25)" "[25.0,50.0)" 10886 50.2 66.5 31.3 30.2 650.93 37277 "[11,54]" "[12,54]" 1037 1780 3376 5223 0.340800306 0.646371817 1596 0.417318329 0.577531947 840 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Covington" "Alabama" 1039 1894 30 56 1 27 NA NA "Covington AL" 37049 47.74129 67.3 1.9 31.7 0.4553 2.446625 2.1 954.87889 3.865797 10.52 151.1512 2.699128 0.2852701 0.1494818 0.0367589 0.0904821 0 0.1244255 0.0174931 0.0042989 0.3055695 0 0.0005087 0.0004759 0.0160446 "Covington County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[10.0,15.0)" 37914 51.6 84.6 12.7 23.3 1030.46 35869 "[ 8,11)" "[ 8,10)" 1039 2379 13222 15818 0.15039828 0.835883171 10843 0.204670775 0.788063574 8993 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Crenshaw" "Alabama" 1041 624 30 46 1 2 NA NA "Crenshaw AL" 13772 10.13578 65.9 4.09 38.2 0.504 2.727381 0.9 927.55615 2.316072 9.530393 334.011 7.261109 0.2612124 0.1555556 0.0353461 0.0535547 0 0.2322049 0.0231481 0.0107784 0.2921187 0 0 0.0053947 0.0424384 "Crenshaw County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[  9,   25)" "[15.0,25.0)" 13977 51.5 71.9 24.1 30.3 608.84 36275 "[ 8,11)" "[10,12)" 1041 1663 4511 6252 0.265994882 0.721529111 2848 0.319450944 0.674777726 2278 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Cullman" "Alabama" 1043 2866 25 67 0 42 18980 "Cullman, AL" "Cullman AL" 83768 98.16699 59 8.44 36.7 0.4548 2.64204 1.8 840.69078 4.58667 11.33581 79.98281 0 0.2519834 0.1374886 0.0526931 0.119962 0 0.0120563 0.0443302 0.0063877 0.2818238 0.0001822 3.64e-05 0.0010408 0.0209379 "Cullman County" "AL" "South" "[  100,  500)" "[ 45,  118)" "[ 82,  215)" "[ 0.0, 2.0)" 81289 50.4 96.2 1.4 26.4 734.84 38847 "[ 8,11)" "[10,12)" 1043 3730 32734 37278 0.100059016 0.878105049 29004 0.146331907 0.841822895 23075 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Dale" "Alabama" 1045 1945 52 52 0 0 37120 "Ozark, AL" "Dale AL" 49172 109.1623 67.1 3.63 37.3 0.45 2.575227 1.7 918.50868 4.692836 10.80308 105.7512 0 0.2332094 0.1704511 0.0207674 0.1009823 0 0.2045102 0.0663861 0.0135632 0.3015656 0 0 0.0003485 0.0301175 "Dale County" "AL" "South" "[   50,  100)" "[ 45,  118)" "[ 82,  215)" "[15.0,25.0)" 49484 50.5 75.3 19.6 20.9 561.15 44889 "[ 8,11)" "[ 8,10)" 1045 4408 13798 18617 0.236772842 0.741150561 9390 0.284782492 0.70643092 7822 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Dallas" "Alabama" 1047 1909 27 124 3 28 42820 "Selma, AL" "Dallas AL" 37196 277.9419 65.9 5.9 43.8 0.4885 2.414233 3.1 925.99151 5.627412 10.52396 333.3692 8.065383 0.2540851 0.1511654 0.0250787 0.0884692 0 0.7005743 0.0111198 0.0056121 0.2718496 0 0.0005746 0 0.0145093 "Dallas County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[50.0,85.3]" 41711 53.5 29 69.6 22 978.7 26519 "[ 5, 8)" "[ 4, 7)" 1047 12826 5784 18730 0.684783769 0.308809397 7042 0.697315629 0.300152847 8315 "Clinton" "Democrat" "Obama" "Democrat" "No"
"2020-11-02" "DeKalb" "Alabama" 1049 3703 30 167 2 27 22840 "Fort Payne, AL" "DeKalb AL" 71513 41.6967 57.2 6.92 29.1 0.4748 2.685761 2.9 780.67948 3.730422 11.17763 233.524 2.796694 0.2365623 0.1270992 0.031244 0.0941196 0 0.0144848 0.1484205 0.0035021 0.2628201 0 0 0.0005307 0.0260756 "DeKalb County" "AL" "South" "[   50,  100)" "[ 45,  118)" "[ 82,  215)" "[ 2.0, 5.0)" 71065 50.7 92.4 2 23.3 777.09 37851 "[ 8,11)" "[ 8,10)" 1049 3682 21779 26086 0.141148509 0.834892279 18097 0.219570506 0.768224142 13081 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Elmore" "Alabama" 1051 3325 59 156 4 26 33860 "Montgomery, AL" "Elmore AL" 81209 102.2668 64.4 6.22 34.3 0.4359 2.634223 1.4 883.73745 4.627585 12.83011 192.0969 4.925562 0.2141732 0.2450546 0.0505529 0.199281 0 0.212146 0.0301269 0.0068509 0.3850844 0 0.0009112 0.0012507 0.0255792 "Elmore County" "AL" "South" "[  100,  500)" "[118,71672]" "[ 82,  215)" "[15.0,25.0)" 80977 51.4 76.2 21.1 28.2 618.49 54766 "[ 8,11)" "[ 8,10)" 1051 8436 27619 36905 0.228586912 0.748380978 19183 0.252257336 0.739926637 17283 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Escambia" "Alabama" 1053 1768 31 38 3 22 12120 "Atmore, AL" "Escambia AL" 36633 38.63777 68.1 1.72 39.6 0.4823 2.568789 2 997.3856 3.65423 10.50871 103.7316 8.189338 0.2414825 0.1265935 0.003254 0.2214356 0.0245821 0.3140307 0.0246816 0.0027484 0.2829658 0 0.0028129 0 0.0067506 "Escambia County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[25.0,50.0)" 37733 48.5 62.4 32.2 23.5 945.08 30687 "[ 5, 8)" "[ 7, 8)" 1053 4698 10282 15213 0.308814829 0.675869322 5584 0.369201726 0.624528047 3787 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Etowah" "Alabama" 1055 4563 54 196 10 42 23460 "Gadsden, AL" "Etowah AL" 102268 277.8291 59.6 9.3 35.7 0.4483 2.62281 1.2 809.64089 5.627006 11.53535 191.6533 9.77823 0.2586219 0.1773318 0.009433 0.1337407 0 0.1548375 0.0401557 0.0076194 0.3002946 8.74e-05 0.002244 0.0020814 0.0398364 "Etowah County" "AL" "South" "[  100,  500)" "[118,71672]" "[ 82,  215)" "[15.0,25.0)" 103531 51.5 81.3 15.5 23.9 534.99 38013 "[ 8,11)" "[10,12)" 1055 10350 32132 43474 0.238073331 0.739108433 21782 0.301059073 0.684914097 16310 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Fayette" "Alabama" 1057 610 14 9 0 0 NA NA "Fayette AL" 16302 15.15662 60.8 7.22 41.6 0.4635 2.339066 1.1 902.39507 2.718438 9.699043 55.20795 0 0.2823587 0.1293847 0.0731995 0.0841424 0.0213592 0.118542 0.0180734 0.0039555 0.2553088 0 0.0015074 0 0.020648 "Fayette County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[10.0,15.0)" 16874 50.4 86.4 11.8 27.5 627.66 33838 "[11,54]" "[12,54]" 1057 1358 6705 8196 0.165690581 0.818081991 5347 0.227881699 0.762639029 4231 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Franklin" "Alabama" 1059 2189 32 264 3 29 NA NA "Franklin AL" 31362 63.37006 58.6 8.17 34.2 0.4224 2.792426 3.3 872.07998 4.148992 10.35335 841.783 9.565717 0.2298568 0.1287238 0.0159695 0.0658107 0 0.0388356 0.1775022 0.0025508 0.2692007 0 0.0002219 0.0020359 0.0133114 "Franklin County" "AL" "South" "[   10,   50)" "[ 45,  118)" "[ 45,   82)" "[ 2.0, 5.0)" 31601 50.1 92.3 4.3 26.2 633.82 36415 "[11,54]" "[10,12)" 1059 2197 9466 11955 0.18377248 0.791802593 7269 0.292015839 0.69684133 4396 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Geneva" "Alabama" 1061 984 7 16 0 0 20020 "Dothan, AL" "Geneva AL" 26271 22.48244 67.8 1.81 39.1 0.4413 2.501737 1.9 940.86066 3.112734 11.9141 60.90366 0 0.2777609 0.1109259 0.0198935 0.0731126 0 0.0931443 0.0404347 0.0030022 0.275948 0 0.0031709 0.0003028 0.0172588 "Geneva County" "AL" "South" "[   10,   50)" "[ 45,  118)" "[ 45,   82)" "[ 5.0,10.0)" 26712 51 87.2 9.8 25.6 574.41 35625 "[11,54]" "[12,54]" 1061 1522 9967 11659 0.130542928 0.854876061 8445 0.180155505 0.810478883 7134 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Greene" "Alabama" 1063 351 17 73 4 15 46220 "Tuscaloosa, AL" "Greene AL" 8111 6.908698 63.8 7.69 35.4 0.5041 2.834305 3.1 946.88001 1.932781 12.43737 900.0123 49.31574 0.3017126 0.1009772 0.253202 0.1616242 0 0.7960646 0.0166404 0.0025507 0.3174229 0 0 0 0.0372051 "Greene County" "AL" "South" "[   10,   50)" "[  0,   17)" "[  9,   25)" "[50.0,85.3]" 8553 52.3 18.7 80.2 28 647.11 24226 "[ 5, 8)" "[ 7, 8)" 1063 4006 838 4862 0.823940765 0.172357055 3168 0.847222222 0.149962462 3715 "Clinton" "Democrat" "Obama" "Democrat" "No"
"2020-11-02" "Hale" "Alabama" 1065 798 30 74 2 25 46220 "Tuscaloosa, AL" "Hale AL" 14651 13.37775 63.8 7.22 40.7 0.5071 2.591665 3.2 936.90942 2.593593 12.43737 505.085 13.65095 0.2608991 0.1410982 0.1310274 0.0780843 0 0.5780253 0.0135814 0.0028521 0.3133386 0 0 0.0012024 0.0312625 "Hale County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[  9,   25)" "[50.0,85.3]" 15184 52.5 41 57.9 27.1 643.94 30051 "[ 5, 8)" "[ 4, 7)" 1065 4772 3172 8010 0.595755306 0.396004994 1600 0.625985165 0.371464998 2196 "Clinton" "Democrat" "Obama" "Democrat" "No"
"2020-11-02" "Henry" "Alabama" 1067 752 6 32 1 19 20020 "Dothan, AL" "Henry AL" 17205 22.47761 67 4.25 36.3 0.435 2.524079 0.8 897.73061 3.11252 11.9141 185.9924 5.812264 0.3014702 0.1797485 0.092898 0.0847979 0 0.2582951 0.0267302 0.0032541 0.3083736 0 0 0 0.0216564 "Henry County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[25.0,50.0)" 17190 51.8 70.1 27.5 26 561.75 41650 "[11,54]" "[10,12)" 1067 2286 5623 8017 0.285144069 0.701384558 3337 0.350114943 0.644252874 2559 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Houston" "Alabama" 1069 4341 35 114 4 42 20020 "Dothan, AL" "Houston AL" 105882 366.7463 68 2.39 38.1 0.4808 2.634096 1.2 918.64758 5.90467 11.9141 107.667 3.77779 0.241974 0.2102709 0.0113591 0.1251479 0 0.2691984 0.0343863 0.0102366 0.317798 7.67e-05 0.0011787 0.0009381 0.0255794 "Houston County" "AL" "South" "[  100,  500)" "[118,71672]" "[ 82,  215)" "[25.0,50.0)" 104193 52 70.4 26.4 20.8 579.82 40948 "[ 8,11)" "[ 8,10)" 1069 10547 30567 42030 0.250939805 0.727266238 20020 0.295103124 0.698181297 16866 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Jackson" "Alabama" 1071 2359 19 60 2 49 42460 "Scottsboro, AL" "Jackson AL" 51626 56.17512 57.1 7.48 39.4 0.4616 2.496318 2.2 776.29168 4.028474 10.85178 116.2205 3.874017 0.2766932 0.1418402 0.0291564 0.0988593 0 0.0341348 0.0295346 0.0047356 0.2829551 0 0.0006719 0.000403 0.0271509 "Jackson County" "AL" "South" "[   10,   50)" "[ 45,  118)" "[ 45,   82)" "[ 2.0, 5.0)" 52665 50.7 91.8 3.4 26.4 1077.87 37634 "[11,54]" "[12,54]" 1071 3663 16643 20785 0.17623286 0.800721674 12980 0.282996838 0.701629774 8605 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Jefferson" "Alabama" 1073 24597 388 1153 62 42 13820 "Birmingham-Hoover, AL" "Jefferson AL" 658573 826.1747 61.4 7.89 34.3 0.4996 2.468158 1.5 866.56812 6.716806 13.90209 175.0755 9.414294 0.2232307 0.3241623 0.0065133 0.1175578 0.0001583 0.4312604 0.0398089 0.0175611 0.3877792 0.0002137 0.0029656 0.0090564 0.0310653 "Jefferson County" "AL" "South" "[  500, 1000)" "[118,71672]" "[215,71672]" "[25.0,50.0)" 660793 52.7 54.2 42.8 23.4 1111.28 45429 "[ 8,11)" "[ 8,10)" 1073 151581 130614 290111 0.522493115 0.450220778 20967 0.526187777 0.466057398 18245 "Clinton" "Democrat" "Obama" "Democrat" "No"
"2020-11-02" "Lamar" "Alabama" 1075 535 6 13 0 0 NA NA "Lamar AL" 13805 10.30324 61.2 7.3 36.3 0.4623 2.297568 1.7 913.90811 2.332458 9.532786 94.16878 0 0.2890061 0.1248357 0.0265223 0.0483365 0 0.1039439 0.0169026 0.0010113 0.2633608 0 0 0.0068143 0.009275 "Lamar County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[  9,   25)" "[10.0,15.0)" 14086 51.2 87 11.4 25.7 604.85 36028 "[11,54]" "[10,12)" 1075 1035 5819 6931 0.149329101 0.839561391 4784 0.229501327 0.761698561 3810 "Trump" "Republican" "Romney" "Republican" "No"
